Textos_espanol,sdg,words
"Por ejemplo, el número de consultas externas de especialistas es de 319 por cada mil derechohabientes en el SP, en comparación con 338 y 620 por cada mil derechohabientes en el IMSS y el ISSSTE, respectivamente. Si bien algunas de estas diferencias pueden reflejar una necesidad desigual (como la población ligeramente mayor del ISSSTE), otras no pueden justificarse de esta manera. El número de recetas que no pudieron ser surtidas en su totalidad por un farmacéutico debido a la falta de existencias es de 33% dentro del SP en comparación con 14% dentro del IMSS según los datos de la encuesta (aunque las propias cifras de los institutos de la SS sugieren tasas más altas de recetas surtidas). Ambas cifras se encuentran entre las más altas de la OCDE. El gasto de bolsillo no se ha reducido significativamente en la última década, a pesar de los esfuerzos para lograr la cobertura sanitaria universal a través de la reforma del SP.",3,ejemplo numero consultas externas especialistas three hundred and nineteen cada mil derechohabientes sp comparacion three hundred and thirtyeight six hundred and twenty cada mil derechohabientes imss issste respectivamente si bien diferencias pueden reflejar necesidad desigual poblacion ligeramente mayor issste pueden justificarse manera numero recetas pudieron ser surtidas totalidad farmaceutico debido falta existencias thirtythree dentro sp comparacion fourteen dentro imss segun datos encuesta aunque propias cifras institutos ss sugieren tasas mas altas recetas surtidas ambas cifras encuentran mas altas ocde gasto bolsillo reducido significativamente ultima decada pesar esfuerzos lograr cobertura sanitaria universal traves reforma sp
"En 2007, el gobierno central financió directamente solo el 0,3% del gasto total en salud, pero realizó transferencias específicas para el gasto en salud que ascendieron a otro 5,6% del gasto total. La mayor parte del gasto presupuestario en salud lo realizan los gobiernos de los condados. Por lo tanto, los condados pobres solo pueden ofrecer un bajo nivel de atención a la población local. El gobierno provincial proporciona subsidios del lado de la oferta a los hospitales.",3,two thousand and seven gobierno central financio directamente solo 03 gasto total salud realizo transferencias especificas gasto salud ascendieron 56 gasto total mayor parte gasto presupuestario salud realizan gobiernos condados condados pobres solo pueden ofrecer bajo nivel atencion poblacion local gobierno provincial proporciona subsidios lado oferta hospitales
"Claramente, hay muchos otros factores en juego, en particular, una variedad de barreras y determinantes sociales. Estos pueden estar relacionados con el género, la clase, la etnia, la casta, el idioma y la religión, y surgen de estructuras, normas y procesos sociales arraigados que aceptan e incluso fomentan distribuciones injustas de la riqueza y los recursos sociales. Por ejemplo, las personas que viven con el VIH y algunas otras enfermedades crónicas enfrentan altos niveles de estigma y discriminación que dificultan su acceso a pruebas médicas, tratamiento, atención y apoyo. Por lo tanto, los gobiernos que buscan mejorar los estándares de salud querrán mejorar la condición de la mujer, brindar servicios de salud reproductiva efectivos, implementar programas integrales de lactancia materna en línea con las recomendaciones actuales y aumentar las presiones comunitarias contra el aborto selectivo por sexo. Las personas pobres, que carecen de educación e información, o de fondos para opciones más saludables, son más vulnerables al impacto de las ENT que los ricos y es probable que mueran antes. Directa e indirectamente, las ENT tendrán impactos de gran alcance en el progreso hacia los ODM.",3,claramente factores juego particular variedad barreras determinantes sociales pueden relacionados genero clase etnia casta idioma religion surgen estructuras normas procesos sociales arraigados aceptan incluso fomentan distribuciones injustas riqueza recursos sociales ejemplo personas viven vih enfermedades cronicas enfrentan altos niveles estigma discriminacion dificultan acceso pruebas medicas tratamiento atencion apoyo gobiernos buscan mejorar estandares salud querran mejorar condicion mujer brindar servicios salud reproductiva efectivos implementar programas integrales lactancia materna linea recomendaciones actuales aumentar presiones comunitarias aborto selectivo sexo personas pobres carecen educacion informacion fondos opciones mas saludables mas vulnerables impacto ent ricos probable mueran directa indirectamente ent tendran impactos gran alcance progreso hacia odm
"Por ejemplo, el estado australiano de Victoria creó una agencia de promoción de la salud financiada con los impuestos sobre el tabaco, y varios estados de EE.UU. (California, Massachusetts, Arizona y Oregón) han destinado parte de los ingresos procedentes de los impuestos especiales sobre el tabaco a actividades de educación y control del tabaco, mientras que en Nueva Jersey, Ohio y Texas los ingresos procedentes del alcohol se utilizan para programas de educación y prevención relacionados con el alcohol (Sassi et al., 2004), Los impuestos locales pueden ser una fuente importante de ingresos, sobre todo en los sistemas sanitarios descentralizados (por ejemplo, Dinamarca, Finlandia, Italia y Suecia)17 . Además, el nivel de los impuestos locales puede fijarse en función de las preferencias locales sobre el nivel y la calidad de los servicios médicos. Sin embargo, en ausencia de un mecanismo de transferencia ajustado al riesgo y gestionado centralmente, la descentralización reduce la mancomunación de riesgos y podría dar lugar a mayores disparidades sanitarias interregionales.",3,ejemplo australiano victoria creo agencia promocion salud financiada impuestos tabaco varios eeuu california massachusetts arizona oregon destinado parte ingresos procedentes impuestos especiales tabaco actividades educacion control tabaco mientras nueva jersey ohio texas ingresos procedentes alcohol utilizan programas educacion prevencion relacionados alcohol sassi et two thousand and four impuestos locales pueden ser fuente importante ingresos sistemas sanitarios descentralizados ejemplo dinamarca finlandia italia suecia seventeen ademas nivel impuestos locales puede fijarse funcion preferencias locales nivel calidad servicios medicos embargo ausencia mecanismo transferencia ajustado riesgo gestionado centralmente descentralizacion reduce mancomunacion riesgos podria dar lugar mayores disparidades sanitarias interregionales
"El consumo anual de alcohol se estima en 15,7 litros al año para los hombres, más de un 50% por encima de la media de la OCDE (10,4) (Sistema mundial de información sobre alcohol y salud de la OMS), lo que puede ayudar a explicar la alta mortalidad por enfermedad hepática relacionada con el alcohol. Si bien la prevalencia de la obesidad en adultos es relativamente baja en comparación con muchos países de la OCDE, más del 30 % de las mujeres en Kazajstán son obesas, en comparación con el 16 % de los hombres (World Obesity, 2016), lo que coloca la tasa entre las mujeres a la par con algunos de los países más obesos de la OCDE. De hecho, una gran proporción de la brecha en la esperanza de vida se explica por una mayor mortalidad entre los jóvenes kazajos de 15 a 29 años, un grupo de edad en el que las tasas generales de mortalidad son más de tres veces más altas que en la UE de los 15.",3,consumo anual alcohol estima 157 litros ano hombres mas fifty encima media ocde 104 sistema mundial informacion alcohol salud oms puede ayudar explicar alta mortalidad enfermedad hepatica relacionada alcohol si bien prevalencia obesidad adultos relativamente baja comparacion paises ocde mas thirty mujeres kazajstan obesas comparacion sixteen hombres world obesity two thousand and sixteen coloca tasa mujeres par paises mas obesos ocde hecho gran proporcion brecha esperanza vida explica mayor mortalidad jovenes kazajos fifteen twentynine anos grupo edad tasas generales mortalidad mas tres veces mas altas ue fifteen
"Probar pronto la medicina rural puede crear el deseo de permanecer en estos lugares después de graduarse. La Universidad de Sydney dice que aproximadamente el 20% de los graduados de su programa rural ocupan puestos de capacitación de posgrado rural, donde están disponibles (Mason, 2013). El surgimiento de especialistas, particularmente en cirugía, ha contribuido a los problemas de mano de obra en las zonas rurales de Australia. Un programa generalista rural comenzó hace unos años en Queensland, lo que permite que los médicos de cabecera se capaciten para que puedan desempeñar algunas funciones especializadas, como anestesistas y obstetricia. Desde entonces, el programa se ha ampliado a otros estados.",3,probar pronto medicina rural puede crear deseo permanecer lugares despues graduarse universidad sydney dice aproximadamente twenty graduados programa rural ocupan puestos capacitacion posgrado rural estan disponibles mason two thousand and thirteen surgimiento especialistas particularmente cirugia contribuido problemas mano obra zonas rurales australia programa generalista rural comenzo hace anos queensland permite medicos cabecera capaciten puedan desempenar funciones especializadas anestesistas obstetricia entonces programa ampliado
"La duración media de la estancia en el hospital (ALOS) se utiliza a menudo como un indicador de la eficiencia en la prestación de servicios hospitalarios porque, siendo constantes todos los demás factores, una estancia más corta reducirá el coste por alta y permitirá el tratamiento de un mayor número de pacientes para un determinado período. entradas. Los pacientes ingresados ​​por afecciones potencialmente mortales, como infarto agudo de miocardio (ataque cardíaco) y enfermedades cerebrovasculares (ictus), también tienden a permanecer mucho más tiempo en el hospital que en otros países.1 Por ejemplo, los pacientes ingresados ​​por infarto agudo de miocardio (IAM) pasan una media de 13 días en el hospital, 6 días más que la media del G7 y la OCDE. La diferencia es aún mayor para los pacientes ingresados ​​por enfermedades cerebrovasculares (derrame cerebral), con estos pacientes en Corea permaneciendo en promedio más de 60 días, mientras que en la mayoría de los demás países del G7, son hospitalizados solo entre 10 y 15 días.",3,duracion media estancia hospital alos utiliza menudo indicador eficiencia prestacion servicios hospitalarios siendo constantes demas factores estancia mas corta reducira coste alta permitira tratamiento mayor numero pacientes determinado periodo entradas pacientes ingresados afecciones potencialmente mortales infarto agudo miocardio ataque cardiaco enfermedades cerebrovasculares ictus tambien tienden permanecer mas tiempo hospital paises1 ejemplo pacientes ingresados infarto agudo miocardio iam pasan media thirteen dias hospital six dias mas media g7 ocde diferencia aun mayor pacientes ingresados enfermedades cerebrovasculares derrame cerebral pacientes corea permaneciendo promedio mas sixty dias mientras mayoria demas paises g7 hospitalizados solo ten fifteen dias
"El período retrospectivo es de 20 años, de 1951 a 2001. Los precios incluyen tecnología, expectativas, políticas gubernamentales e inflación de factores de entrada. Envejecimiento de la población y gasto público en salud en Nueva Zelanda, 1951-2051. Documento de trabajo del Tesoro de Nueva Zelanda 04/14. Tendencias del gasto en salud en Nueva Zelanda. Wellington, Ministerio de Salud.",3,periodo retrospectivo twenty anos one thousand nine hundred and fiftyone two thousand and one precios incluyen tecnologia expectativas politicas gubernamentales inflacion factores entrada envejecimiento poblacion gasto publico salud nueva zelanda 19512051 documento trabajo tesoro nueva zelanda 0414 tendencias gasto salud nueva zelanda wellington ministerio salud
"Ya se están vinculando algunos datos de los registros, incluidos los relativos a la mortalidad, con un gran potencial de ampliación. El uso de registros electrónicos normalizados y la vinculación de datos también reduciría la carga que supone para el personal de atención primaria el registro de datos duplicados en múltiples registros de calidad. La mejora, normalización y racionalización de la arquitectura de la información para apoyar las mejoras en la calidad y coordinación de la asistencia sanitaria, incluida la atención primaria, también debería ser una prioridad. Además de abordar algunas de las cuestiones prácticas que conlleva, también será necesario un liderazgo y un cambio de cultura en la atención primaria para vencer la resistencia a la recogida de datos, promoviendo el potencial de los datos de referencia para la mejora de la calidad y el apoyo a los pacientes. ",3,estan vinculando datos registros incluidos relativos mortalidad gran potencial ampliacion uso registros electronicos normalizados vinculacion datos tambien reduciria carga supone personal atencion primaria registro datos duplicados multiples registros calidad mejora normalizacion racionalizacion arquitectura informacion apoyar mejoras calidad coordinacion asistencia sanitaria incluida atencion primaria tambien deberia ser prioridad ademas abordar cuestiones practicas conlleva tambien sera necesario liderazgo cambio cultura atencion primaria vencer resistencia recogida datos promoviendo potencial datos referencia mejora calidad apoyo pacientes
"En este sentido, es una forma eficaz de mejorar la eficacia y la calidad del servicio que ya están prestando los médicos de Atención Primaria. Además, dado esto, es probable que la introducción de la TCC basada en la atención primaria o equivalentes de terapia de conversación ahorre costos en comparación con la introducción de programas independientes, aumentando los reembolsos de las terapias proporcionadas por médicos que no son de atención primaria (especialmente cuando los médicos alternativos son privados), o invertir en el desarrollo de capacidades para la prestación de terapias psicológicas. En particular, en países con sistemas de atención primaria débiles y donde existen altos niveles de estigma en torno a las enfermedades mentales, es probable que la introducción de la TCC en la atención primaria no sea el uso más eficiente de los recursos.",3,forma eficaz mejorar eficacia calidad servicio estan prestando medicos atencion primaria ademas dado probable introduccion tcc basada atencion primaria equivalentes terapia conversacion ahorre costos comparacion introduccion programas independientes aumentando reembolsos terapias proporcionadas medicos atencion primaria especialmente medicos alternativos privados invertir desarrollo capacidades prestacion terapias psicologicas particular paises sistemas atencion primaria debiles existen altos niveles estigma torno enfermedades mentales probable introduccion tcc atencion primaria uso mas eficiente recursos
